snr,comb_amp,overlap,k,seed,bias_plus,coverage
0.5,5.0,True,1,42,110.22440326316553,0.05
0.5,5.0,True,2,42,100.0162904859105,0.0
0.5,5.0,True,3,42,100.00013276938483,0.0
0.5,5.0,True,4,42,100.00013234358582,0.0
0.5,5.0,True,5,42,100.00008730220992,0.0
0.5,5.0,True,6,42,100.00011920431527,0.0
0.5,5.0,True,7,42,100.0001278822431,0.0
0.5,5.0,True,8,42,100.00011386004638,0.0
0.5,5.0,True,9,42,100.00009690019039,0.0
0.5,5.0,True,10,42,100.00005108670176,0.0
0.5,5.0,True,11,42,100.00004085810811,0.0
0.5,5.0,True,12,42,100.00003021717538,0.0
0.5,5.0,True,13,42,100.00003016942557,0.0
0.5,5.0,True,14,42,100.00002595875722,0.0
0.5,5.0,True,15,42,100.00002668933895,0.0
0.5,5.0,True,16,42,100.00002245525359,0.0
0.5,5.0,True,17,42,100.00002402381699,0.0
0.5,5.0,True,18,42,100.00001539244982,0.0
0.5,5.0,True,19,42,100.00005000870101,0.0
0.5,5.0,True,20,42,100.00004984623456,0.0
0.5,5.0,True,21,42,100.00003849382466,0.0
0.5,5.0,True,22,42,100.0000405518648,0.0
0.5,5.0,True,23,42,100.00002889835949,0.0
0.5,5.0,True,24,42,100.00002959805963,0.0
0.5,5.0,True,25,42,100.00004369809815,0.0
0.5,5.0,True,26,42,100.00004106907724,0.0
0.5,5.0,True,27,42,100.00004506280887,0.0
0.5,5.0,True,28,42,100.00002512806428,0.0
0.5,5.0,True,29,42,100.00002415781839,0.0
0.5,5.0,True,30,42,100.00000031756555,0.0
0.5,5.0,True,31,42,100.00000346996279,0.0
0.5,5.0,True,32,42,100.00000325523855,0.0
0.5,5.0,True,33,42,99.99998510717988,0.0
0.5,5.0,True,34,42,99.99998649819432,0.0
0.5,5.0,True,35,42,99.99999706034808,0.0
0.5,5.0,True,36,42,99.99999973160371,0.0
0.5,5.0,True,37,42,100.00002488650938,0.0
0.5,5.0,True,38,42,99.99999127696378,0.0
0.5,5.0,True,39,42,99.99998797247761,0.0
0.5,5.0,True,40,42,99.99999776330787,0.0
0.5,5.0,True,41,42,99.99999618516551,0.0
0.5,5.0,True,42,42,99.9999973291428,0.0
0.5,5.0,True,43,42,99.99999744023198,0.0
0.5,5.0,True,44,42,99.99999019583777,0.0
0.5,5.0,True,45,42,99.99998780158677,0.0
0.5,5.0,True,46,42,99.99998817215618,0.0
0.5,5.0,True,47,42,99.99999287521646,0.0
0.5,5.0,True,48,42,99.99999671808888,0.0
0.5,5.0,True,49,42,99.99998057307567,0.0
0.5,5.0,True,50,42,99.99998071753618,0.0
0.5,5.0,True,1,43,110.21771951532301,0.05
0.5,5.0,True,2,43,100.01385791738664,0.0
0.5,5.0,True,3,43,100.00001369970474,0.0
0.5,5.0,True,4,43,100.00001606149355,0.0
0.5,5.0,True,5,43,100.00002362700397,0.0
0.5,5.0,True,6,43,100.00001205002283,0.0
0.5,5.0,True,7,43,100.00001864658297,0.0
0.5,5.0,True,8,43,99.99999610698023,0.0
0.5,5.0,True,9,43,99.99999544687658,0.0
0.5,5.0,True,10,43,99.99999544066662,0.0
0.5,5.0,True,11,43,100.00000597712136,0.0
0.5,5.0,True,12,43,100.00002376336909,0.0
0.5,5.0,True,13,43,100.00001666706405,0.0
0.5,5.0,True,14,43,100.00001621170688,0.0
0.5,5.0,True,15,43,100.00001291010977,0.0
0.5,5.0,True,16,43,100.0000103879273,0.0
0.5,5.0,True,17,43,100.00002123637802,0.0
0.5,5.0,True,18,43,100.0000206844334,0.0
0.5,5.0,True,19,43,100.00002249089005,0.0
0.5,5.0,True,20,43,100.00002913486628,0.0
0.5,5.0,True,21,43,99.99998355375286,0.0
0.5,5.0,True,22,43,99.99997990100456,0.0
0.5,5.0,True,23,43,99.99998312300531,0.0
0.5,5.0,True,24,43,99.9999829430685,0.0
