snr,comb_amp,overlap,k,bias_plus,bias_plus,bias_plus,coverage,coverage,coverage
,,,,median,mean,max,median,mean,max
0.5,5.0,False,1,54.040557331401864,54.044072478605685,54.081065954753285,0.1,0.1,0.1
0.5,5.0,False,2,100.01870632060997,100.01888409648123,100.02121875085497,0.0,0.0,0.0
0.5,5.0,False,3,100.00001847183248,99.99998720400083,100.00007803809252,0.0,0.0,0.0
0.5,5.0,False,4,99.9999869422707,99.99996579901241,100.00007802061945,0.0,0.0,0.0
0.5,5.0,False,5,100.0000107490252,99.99997672771788,100.00003592490734,0.0,0.0,0.0
0.5,5.0,False,6,100.00000087675215,99.99999451909628,100.00008698195978,0.0,0.0,0.0
0.5,5.0,False,7,99.99999850167112,99.99999060498655,100.00008821779784,0.0,0.0,0.0
0.5,5.0,False,8,100.00001154496269,99.99999237506938,100.00007537892742,0.0,0.0,0.0
0.5,5.0,False,9,100.00001098048223,99.99999059497374,100.00006881664271,0.0,0.0,0.0
0.5,5.0,False,10,99.999979343739,99.99997560582905,100.00001619731718,0.0,0.0,0.0
0.5,5.0,False,11,99.99997480614985,99.99997276764762,99.99999850011652,0.0,0.0,0.0
0.5,5.0,False,12,99.99997424709525,99.99997696204476,100.0000221520414,0.0,0.0,0.0
0.5,5.0,False,13,99.99998945947019,99.99998885207872,100.00002103784766,0.0,0.0,0.0
0.5,5.0,False,14,99.9999857489961,99.9999843406271,100.00004156921506,0.0,0.0,0.0
0.5,5.0,False,15,99.99998363145669,99.99998209159085,100.00005820491285,0.0,0.0,0.0
0.5,5.0,False,16,99.99998392734221,99.99999062511299,100.00006431533944,0.0,0.0,0.0
0.5,5.0,False,17,99.99998537433666,100.00000250140135,100.00006187684613,0.0,0.0,0.0
0.5,5.0,False,18,100.00001777533973,100.00000835755587,100.00005906701249,0.0,0.0,0.0
0.5,5.0,False,19,100.00002417354122,100.00001574162636,100.00005881565218,0.0,0.0,0.0
0.5,5.0,False,20,100.00001759673606,100.00001856759563,100.00005700235519,0.0,0.0,0.0
0.5,5.0,False,21,99.99999857991483,100.00000397362936,100.00004250278616,0.0,0.0,0.0
0.5,5.0,False,22,100.00000106796799,100.0000034955111,100.00004072707699,0.0,0.0,0.0
